Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label	obo:ORCS_00000020	rdfs:label	John Doe's patient role@en
ERROR	duplicate_label	obo:ORCS_00000120	rdfs:label	John Doe's patient role@en
ERROR	duplicate_label	obo:ORCS_00000104	rdfs:label	ETL process of John Doe’s ethnic identity datum@en
ERROR	duplicate_label	obo:ORCS_00000108	rdfs:label	ETL process of John Doe’s ethnic identity datum@en
ERROR	duplicate_label	APOLLO_SV:00000429	rdfs:label	date@en
ERROR	duplicate_label	OMRSE:00000136	rdfs:label	date@en
ERROR	multiple_labels	BFO:0000179	rdfs:label	BFO OWL specification label
ERROR	multiple_labels	BFO:0000179	rdfs:label	BFO OWL specification label@en
ERROR	multiple_labels	BFO:0000180	rdfs:label	BFO CLIF specification label
ERROR	multiple_labels	BFO:0000180	rdfs:label	BFO CLIF specification label@en
ERROR	multiple_labels	ENVO:00002004	rdfs:label	mesoscopic physical object
ERROR	multiple_labels	ENVO:00002004	rdfs:label	physical object of mesoscopic geological size
ERROR	multiple_labels	IAO:0000111	rdfs:label	editor preferred label@en
ERROR	multiple_labels	IAO:0000111	rdfs:label	editor preferred term
ERROR	multiple_labels	IAO:0000111	rdfs:label	editor preferred term@en
ERROR	multiple_labels	IAO:0000112	rdfs:label	example of usage
ERROR	multiple_labels	IAO:0000112	rdfs:label	example of usage@en
ERROR	multiple_labels	IAO:0000115	rdfs:label	definition
ERROR	multiple_labels	IAO:0000115	rdfs:label	definition@en
ERROR	multiple_labels	IAO:0000115	rdfs:label	textual definition
ERROR	multiple_labels	IAO:0000116	rdfs:label	editor note
ERROR	multiple_labels	IAO:0000116	rdfs:label	editor note@en
ERROR	multiple_labels	IAO:0000117	rdfs:label	definition editor
ERROR	multiple_labels	IAO:0000117	rdfs:label	definition editor@en
ERROR	multiple_labels	IAO:0000117	rdfs:label	term editor
ERROR	multiple_labels	IAO:0000117	rdfs:label	term editor@en
ERROR	multiple_labels	IAO:0000118	rdfs:label	alternative term
ERROR	multiple_labels	IAO:0000118	rdfs:label	alternative term@en
ERROR	multiple_labels	IAO:0000119	rdfs:label	definition source
ERROR	multiple_labels	IAO:0000119	rdfs:label	definition source@en
ERROR	multiple_labels	IAO:0000232	rdfs:label	curator note
ERROR	multiple_labels	IAO:0000232	rdfs:label	curator note@en
ERROR	multiple_labels	IAO:0000232	rdfs:label	curator notes
ERROR	multiple_labels	IAO:0000600	rdfs:label	elucidation
ERROR	multiple_labels	IAO:0000600	rdfs:label	elucidation@en
ERROR	multiple_labels	IAO:0000601	rdfs:label	has associated axiom(nl)
ERROR	multiple_labels	IAO:0000601	rdfs:label	has associated axiom(nl)@en
ERROR	multiple_labels	IAO:0000602	rdfs:label	has associated axiom(fol)
ERROR	multiple_labels	IAO:0000602	rdfs:label	has associated axiom(fol)@en
ERROR	multiple_labels	OBI:0000312	rdfs:label	is_specified_output_of
ERROR	multiple_labels	OBI:0000312	rdfs:label	is_specified_output_of@en
ERROR	multiple_labels	obo:ORCS_00000020	rdfs:label	John Doe's patient role@en
ERROR	multiple_labels	obo:ORCS_00000020	rdfs:label	m1@en
ERROR	multiple_labels	RO:0000052	rdfs:label	characteristic of@en
ERROR	multiple_labels	RO:0000052	rdfs:label	inheres in@en
ERROR	multiple_labels	RO:0000053	rdfs:label	bearer of@en
ERROR	multiple_labels	RO:0000053	rdfs:label	bearer_of@en
ERROR	multiple_labels	RO:0000053	rdfs:label	has characteristic@en
ERROR	multiple_labels	RO:0000057	rdfs:label	has participant@en
ERROR	multiple_labels	RO:0000057	rdfs:label	has_participant
ERROR	multiple_labels	RO:0002448	rdfs:label	activity directly regulates activity of
ERROR	multiple_labels	RO:0002448	rdfs:label	directly regulates activity of
ERROR	multiple_labels	RO:0002449	rdfs:label	activity directly negatively regulates activity of
ERROR	multiple_labels	RO:0002449	rdfs:label	directly negatively regulates activity of
ERROR	multiple_labels	RO:0002450	rdfs:label	activity directly positively regulates activity of
ERROR	multiple_labels	RO:0002450	rdfs:label	directly positively regulates activity of
ERROR	multiple_labels	RO:0002506	rdfs:label	causal relation between entities
ERROR	multiple_labels	RO:0002506	rdfs:label	causal relation between material entities
ERROR	deprecated_class_reference	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49474	rdfs:subClassOf	IAO:0020020
ERROR	deprecated_class_reference	IAO:0021002	rdfs:subClassOf	obo:ORCS_00000042
ERROR	deprecated_class_reference	NCIT:C53489	rdfs:subClassOf	IAO:0020020
ERROR	deprecated_class_reference	OMRSE:00000083	rdfs:subClassOf	OMRSE:00000100
ERROR	deprecated_class_reference	OMRSE:00000083	rdfs:subClassOf	OMRSE:00000127
ERROR	deprecated_class_reference	OMRSE:00000083	rdfs:subClassOf	OMRSE:00000128
ERROR	deprecated_class_reference	OMRSE:00000085	rdfs:subClassOf	OMRSE:00000001
ERROR	deprecated_class_reference	OMRSE:00000098	rdfs:subClassOf	cd24796b-39e8-4fe3-8378-6068018c6e87genid1081
ERROR	deprecated_class_reference	OMRSE:00000098	rdfs:subClassOf	OMRSE:00000132
ERROR	deprecated_class_reference	OMRSE:00000098	rdfs:subClassOf	OMRSE:00000185
ERROR	deprecated_class_reference	OMRSE:00000098	rdfs:subClassOf	obo:ORCS_00000028
ERROR	deprecated_class_reference	OMRSE:00000098	owl:equivalentClass	cd24796b-39e8-4fe3-8378-6068018c6e87genid1072
ERROR	deprecated_class_reference	OMRSE:00000100	rdfs:subClassOf	cd24796b-39e8-4fe3-8378-6068018c6e87genid1097
ERROR	deprecated_class_reference	OMRSE:00000100	rdfs:subClassOf	OMRSE:00000083
ERROR	deprecated_class_reference	OMRSE:00000100	rdfs:subClassOf	OMRSE:00000132
ERROR	deprecated_class_reference	OMRSE:00000100	rdfs:subClassOf	obo:ORCS_00000040
ERROR	deprecated_class_reference	OMRSE:00000100	owl:equivalentClass	cd24796b-39e8-4fe3-8378-6068018c6e87genid1088
ERROR	deprecated_class_reference	OMRSE:00000127	rdfs:subClassOf	OMRSE:00000083
ERROR	deprecated_class_reference	OMRSE:00000127	rdfs:subClassOf	obo:ORCS_00000038
ERROR	deprecated_class_reference	OMRSE:00000128	rdfs:subClassOf	OMRSE:00000083
ERROR	deprecated_class_reference	OMRSE:00000128	rdfs:subClassOf	obo:ORCS_00000039
ERROR	deprecated_class_reference	OMRSE:00000132	rdfs:subClassOf	cd24796b-39e8-4fe3-8378-6068018c6e87genid1161
