?cls	?xref
<http://purl.obolibrary.org/obo/UBERON_0002048>	"BTO:0000763"
<http://purl.obolibrary.org/obo/UBERON_0002048>	"UMLS:C0024109"
<http://purl.obolibrary.org/obo/UBERON_0002048>	"MA:0000415"
<http://purl.obolibrary.org/obo/UBERON_0002048>	"MESH:D008168"
<http://purl.obolibrary.org/obo/UBERON_0002048>	"CALOHA:TS-0568"
<http://purl.obolibrary.org/obo/UBERON_0002048>	"NCIT:C12468"
<http://purl.obolibrary.org/obo/UBERON_0002048>	"MIAA:0000135"
<http://purl.obolibrary.org/obo/UBERON_0002048>	<http://linkedlifedata.com/resource/umls/id/C0024109>
<http://purl.obolibrary.org/obo/UBERON_0002048>	"XAO:0000119"
<http://purl.obolibrary.org/obo/UBERON_0002048>	<http://orcid.org/0000-0002-6601-2165>
<http://purl.obolibrary.org/obo/UBERON_0002048>	"EHDAA2:0001042"
<http://purl.obolibrary.org/obo/UBERON_0002048>	"AAO:0000275"
<http://purl.obolibrary.org/obo/UBERON_0002048>	"OpenCyc:Mx4rvVjKy5wpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0002048>	"EHDAA:2205"
<http://purl.obolibrary.org/obo/UBERON_0002048>	"AAO:0010567"
<http://purl.obolibrary.org/obo/UBERON_0002048>	"GAID:345"
<http://purl.obolibrary.org/obo/UBERON_0002048>	<http://en.wikipedia.org/wiki/Lung>
<http://purl.obolibrary.org/obo/UBERON_0002048>	"FMA:7195"
<http://purl.obolibrary.org/obo/UBERON_0002048>	"MAT:0000135"
<http://purl.obolibrary.org/obo/UBERON_0002048>	"EV:0100042"
<http://purl.obolibrary.org/obo/UBERON_0002048>	"EHDAA:1554"
<http://purl.obolibrary.org/obo/UBERON_0002048>	"EFO:0000934"
<http://purl.obolibrary.org/obo/UBERON_0002048>	"VHOG:0000310"
<http://purl.obolibrary.org/obo/UBERON_0002048>	<http://www.snomedbrowser.com/Codes/Details/181216001>
<http://purl.obolibrary.org/obo/UBERON_0002048>	"EMAPA:16728"
<http://purl.obolibrary.org/obo/UBERON_0002048>	"galen:Lung"
<http://purl.obolibrary.org/obo/UBERON_0002106>	"EV:0100055"
<http://purl.obolibrary.org/obo/UBERON_0002106>	"VHOG:0000120"
<http://purl.obolibrary.org/obo/UBERON_0002106>	<http://en.wikipedia.org/wiki/Spleen>
<http://purl.obolibrary.org/obo/UBERON_0002106>	"galen:Spleen"
<http://purl.obolibrary.org/obo/UBERON_0002106>	"CALOHA:TS-0956"
<http://purl.obolibrary.org/obo/UBERON_0002106>	"MIAA:0000085"
<http://purl.obolibrary.org/obo/UBERON_0002106>	"AAO:0010395"
<http://purl.obolibrary.org/obo/UBERON_0002106>	"XAO:0000328"
<http://purl.obolibrary.org/obo/UBERON_0002106>	"MAT:0000085"
<http://purl.obolibrary.org/obo/UBERON_0002106>	<http://linkedlifedata.com/resource/umls/id/C0037993>
<http://purl.obolibrary.org/obo/UBERON_0002106>	"ZFA:0000436"
<http://purl.obolibrary.org/obo/UBERON_0002106>	"EFO:0000869"
<http://purl.obolibrary.org/obo/UBERON_0002106>	"NCIT:C12432"
<http://purl.obolibrary.org/obo/UBERON_0002106>	"FMA:7196"
<http://purl.obolibrary.org/obo/UBERON_0002106>	"MESH:A15.382.520.604.713"
<http://purl.obolibrary.org/obo/UBERON_0002106>	"GAID:1289"
<http://purl.obolibrary.org/obo/UBERON_0002106>	"TAO:0000436"
<http://purl.obolibrary.org/obo/UBERON_0002106>	"MA:0000141"
<http://purl.obolibrary.org/obo/UBERON_0002106>	"OpenCyc:Mx4rvVjgw5wpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0002106>	"BTO:0001281"
<http://purl.obolibrary.org/obo/UBERON_0002106>	"ISBN:0-683-40008-8"
<http://purl.obolibrary.org/obo/UBERON_0002106>	"UMLS:C0037993"
<http://purl.obolibrary.org/obo/UBERON_0002106>	<http://www.snomedbrowser.com/Codes/Details/181279003>
<http://purl.obolibrary.org/obo/UBERON_0002106>	"EMAPA:18767"
<http://purl.obolibrary.org/obo/UBERON_0002106>	"MP:0000689"
<http://purl.obolibrary.org/obo/UBERON_0000989>	"BTO:0000405"
<http://purl.obolibrary.org/obo/UBERON_0000989>	"MP:0005187"
<http://purl.obolibrary.org/obo/UBERON_0000989>	"EMAPA_RETIRED:18996"
<http://purl.obolibrary.org/obo/UBERON_0000989>	"MIAA:0000186"
<http://purl.obolibrary.org/obo/UBERON_0000989>	"NCIT:C12409"
<http://purl.obolibrary.org/obo/UBERON_0000989>	"EV:0100107"
<http://purl.obolibrary.org/obo/UBERON_0000989>	"galen:Penis"
<http://purl.obolibrary.org/obo/UBERON_0000989>	"ISBN:0-683-40008-8"
<http://purl.obolibrary.org/obo/UBERON_0000989>	"MA:0000408"
